id,name,image,description,type,attackPower,passive
17f69448ceel0i0a57bokoqz409yb,Firebone Arrow,https://eldenring.fanapis.com/images/ammos/17f69448ceel0i0a57bokoqz409yb.png,Arrow whittled from animal bones. The tip is set alight before firing,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 90}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f695dc715l0i0a59pf1x5fb5112r,Bloodbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f695dc715l0i0a59pf1x5fb5112r.png,Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item. The fletching adds distance to the arrow's flight.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes blood loss build up (55)
17f6955e0efl0i0a5a8q72a9vip51,Bolt,https://eldenring.fanapis.com/images/ammos/17f6955e0efl0i0a5a8q72a9vip51.png,"Ammunition used for crossbows. A widespread, common type of bolt.",Pierce,"[{'name': 'physical', 'amount': 50}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f699c4de5l0i0a5a69f9ja6l52sm,Bloodbone Bolt,https://eldenring.fanapis.com/images/ammos/17f699c4de5l0i0a5a69f9ja6l52sm.png,Bolt carved from animal bone. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item. ,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes blood loss buildup (50)
17f69af93d3l0i0a5b5c6u7e58dev5,Ballista Bolt,https://eldenring.fanapis.com/images/ammos/17f69af93d3l0i0a5b5c6u7e58dev5.png,Greatbolt as large as a pear for use with Hand Ballista,Pierce,"[{'name': 'physical', 'amount': 160}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6924048dl0i0a5bddy4vjs3e5s,Black-key Bolt,https://eldenring.fanapis.com/images/ammos/17f6924048dl0i0a5bddy4vjs3e5s.png,"Bolts used in Crepus' Black-Key Crossbow, an assassin's tool of exquisite craftmanship.",Pierce,"[{'name': 'physical', 'amount': 30}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes scarlet rot buildup (60)
17f6973ce6al0i0a5g8kku0ago9dtr,Bloodbone Arrow,https://eldenring.fanapis.com/images/ammos/17f6973ce6al0i0a5g8kku0ago9dtr.png,Arrow whittled from animal bones. The tip is daubed with a blood tincture. Afflicts targets with blood loss.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes blood loss build up (55)
17f6994469al0i0a5kro3q7srgm3ic,Arrow,https://eldenring.fanapis.com/images/ammos/17f6994469al0i0a5kro3q7srgm3ic.png,"Arrows used with small and long bows. Unremarkable in any way, shape or form.",Pierce,"[{'name': 'physical', 'amount': 45}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f699f2bf9l0i0a62bo1pm64y13t,Bone Arrow,https://eldenring.fanapis.com/images/ammos/17f699f2bf9l0i0a62bo1pm64y13t.png,"Arrow whittled from thin animal bones. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",Pierce,"[{'name': 'physical', 'amount': 35}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6988c728l0i0a6dz732w8pes2a5,Bone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f6988c728l0i0a6dz732w8pes2a5.png,Arrow whittled from thin animal bones. The feather fletchings add distance and accuracy to the standard bone arrow.,Pierce,"[{'name': 'physical', 'amount': 35}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
