id,name,image,description,type,cost,slots,effects,requires
17f696c7ce7l0hynrwmh6d0r0rwk2,Ancient Dragons' Lightning Strike,https://eldenring.fanapis.com/images/incantations/17f696c7ce7l0hynrwmh6d0r0rwk2.png,A secret incantation of the capital's ancient dragon cult.,Incantations,27,1,Summons red lightning that spreads from impact,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 26}, {'name': 'Arcane', 'amount': 0}]"
17f695ad891l0hynrxcposdnx7gy9h,Aspects Of The Crucible: Horns,https://eldenring.fanapis.com/images/incantations/17f695ad891l0hynrxcposdnx7gy9h.png,One of the ancient Erdtree incantations.,Incantations,30,1,creates shoulder horn to gore foes from a low stance.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 27}, {'name': 'Arcane', 'amount': 0}]"
17f690dc5ael0hynrxf3lq1w3xcjpr,Agheel's Flame,https://eldenring.fanapis.com/images/incantations/17f690dc5ael0hynrxf3lq1w3xcjpr.png,Superior incantation of Dragon Communion. Channels the power of the flying dragon Agheel.,Incantations,36,1,Spews flame breath of Agheel from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 23}, {'name': 'Arcane', 'amount': 15}]"
17f693bd4f8l0hynrzaixs0xzre1q,Aspects Of The Crucible: Tail,https://eldenring.fanapis.com/images/incantations/17f693bd4f8l0hynrzaixs0xzre1q.png,One of the ancient Erdtree incantations.,Incantations,32,1,Creates supple tail to sweep area before caster,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 27}, {'name': 'Arcane', 'amount': 0}]"
17f698483c9l0hyns2v5nt60a29sd,Barrier Of Gold,https://eldenring.fanapis.com/images/incantations/17f698483c9l0hyns2v5nt60a29sd.png,One of the incantations of Erdtree Worship. ,Incantations,30,1,Greatly increases magic damage negation for self & allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f6911d8c2l0hyns4qd7p9pfucu26,Ancient Dragons' Lightning Spear,https://eldenring.fanapis.com/images/incantations/17f6911d8c2l0hyns4qd7p9pfucu26.png,A secret incantation of the capital's ancient dragon cult.,Incantations,32,1,Stabs with red lightning spear from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f690418f4l0hyns68vsg9zhbc6w,Beast Claw,https://eldenring.fanapis.com/images/incantations/17f690418f4l0hyns68vsg9zhbc6w.png,"Incantation taught by Gurranq, the Beast Clergyman.",Incantation,10,1,Creates claws that tear through the land.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 8}, {'name': 'Arcane', 'amount': 0}]"
17f693c22edl0hynsdj8fz0ddz4vni,Aspect Of The Crucible: Breath,https://eldenring.fanapis.com/images/incantations/17f693c22edl0hynsdj8fz0ddz4vni.png,One of the ancient Erdtree incantations.,Incantations,28,1,Creates throat pouch to spew fire while walking,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 27}, {'name': 'Arcane', 'amount': 0}]"
17f69691e79l0hyntbidbq75lrrjb7,Bestial Constitution,https://eldenring.fanapis.com/images/incantations/17f69691e79l0hyntbidbq75lrrjb7.png,"Incantation taught by Gurranq, the Beast Clergyman.",Incantations,10,1,Alleviates blood loss and frost buildup,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 9}, {'name': 'Arcane', 'amount': 0}]"
17f68f98778l0hynteevtb4hr6x90d,Bestial Sling,https://eldenring.fanapis.com/images/incantations/17f68f98778l0hynteevtb4hr6x90d.png,"Incantation taught by Gurranq, the Beast Clergyman. Swiftly flings a number of sharp rock shards. This incantation can be cast without delay after performing another action. It is said that in the time before the Erdtree, stones were the first weapons of the beasts who had gained intelligence.",Incantations,7,1,Swiftly flings numerous sharp rock shards,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 10}, {'name': 'Arcane', 'amount': 0}]"
