id,name,image,description,type,cost,slots,effects,requires
17f69323f35l0hykrc6d1g3vajyc0n,Briars Of Punishment,https://eldenring.fanapis.com/images/sorceries/17f69323f35l0hykrc6d1g3vajyc0n.png,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, sending a trail of bloodthorns running over the ground to impale enemies from below. This sorcery can be cast repeatedly. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",Sorceries,13,1,Wounds caster to unleash trail of bloodthrorns,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 21}, {'name': 'Arcane', 'amount': 0}]"
17f697cbb96l0hykre66weonnfh81y,Ancient Death Rancor,https://eldenring.fanapis.com/images/sorceries/17f697cbb96l0hykre66weonnfh81y.png,Sorcery of the servants of Death.,Sorceries,24,1,Summons horde of vengeful spirits that chase down foes,"[{'name': 'Intelligence', 'amount': 34}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f694c4b51l0hykrh5ekspavmcdh,Briars Of Sin,https://eldenring.fanapis.com/images/sorceries/17f694c4b51l0hykrh5ekspavmcdh.png,"An aberrant sorcery, discovered along with red glintstone by those exiled to the north for their crimes. Summons large thorns from a whorl of blood shed by one's own hand in penance for sins. This sorcery can be cast repeatedly. The Academy reviles this sorcery, which draws its power from faith.",Sorcery,9,1,Summons thorns from a whorl of your own blood.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f697763ffl0hykrjb9eqis858fj9,Cannon Of Haima,https://eldenring.fanapis.com/images/sorceries/17f697763ffl0hykrjb9eqis858fj9.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Lobs an explosive magic projectile that flies in an arc. Charging enhances potency. Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",Sorceries,45,1,Lobs an explosive magic projectile in an arc,"[{'name': 'Intelligence', 'amount': 25}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f69548207l0hykrjxtjpw45plt0o,Ambush Shard,https://eldenring.fanapis.com/images/sorceries/17f69548207l0hykrjxtjpw45plt0o.png,"One of the night sorceries of Sellia, Town of Sorcery. Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind. This sorcery can be cast repeatedly. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Sorceries,16,1,Strikes from behind with projectile fired from distance,"[{'name': 'Intelligence', 'amount': 23}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f69526092l0hykrkfqubdcrri5ri,Carian Phalanx,https://eldenring.fanapis.com/images/sorceries/17f69526092l0hykrkfqubdcrri5ri.png,One of the sorceries of the Carian royal family.,Sorceries,26,1,Forms a defensive arch of numerous magic glintblades,"[{'name': 'Intelligence', 'amount': 34}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f69501669l0hykrly1hkzqhsjkgf,Adula's Moonblade,https://eldenring.fanapis.com/images/sorceries/17f69501669l0hykrly1hkzqhsjkgf.png,"Sorcery of Adula, the Glintstone Dragon. Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost. This sorcery can be cast repeatedly. Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon.",Sorceries,26,1,Sweeping slash followed by cold blade projectile,"[{'name': 'Intelligence', 'amount': 32}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f698158cbl0hykro1lrfmqwblslj,Carian Greatsword,https://eldenring.fanapis.com/images/sorceries/17f698158cbl0hykro1lrfmqwblslj.png,"One of the sorceries of the Carian royal family. Conjures a magic greatsword and then delivers a sweeping blow. This sorcery can be cast repeatedly. Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon.",Sorceries,16,1,Performs sweeping slash using magical greatsword,"[{'name': 'Intelligence', 'amount': 24}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f68f67eeal0hyksqja69pmxoh3yh,Carian Piercer,https://eldenring.fanapis.com/images/sorceries/17f68f67eeal0hyksqja69pmxoh3yh.png,One of the sorceries of the Carian royal family.,Sorcery,23,1,Impales foes with magical greatsword,"[{'name': 'Intelligence', 'amount': 27}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f691dc847l0hyksqn4eqkjcj7jls,Carian Retaliation,https://eldenring.fanapis.com/images/sorceries/17f691dc847l0hyksqn4eqkjcj7jls.png,One of the sorceries of the Carian royal family.,Sorceries,8,1,Dispels enemy spells and retaliates with glintblades,"[{'name': 'Intelligence', 'amount': 17}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
